Tournament, Directory Name
Lone Star Regional, LoneStar
Bayou Regional, Bayou
Silicon Valley Regional, SiliconValley
Test,Test
Indiana Regional,IRI
Granite State Regional, GraniteState
Scrimmage, Scrimmage
